2022-01-04 18:48:59.623 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3340 | loss : 0.002614474153804208|
2022-01-04 18:49:27.835 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3360 | loss : 0.0025203926222664968|
2022-01-04 18:49:56.059 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3380 | loss : 0.002512276948556392|
2022-01-04 18:50:24.168 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3400 | loss : 0.002467495132895077|
2022-01-04 18:50:52.405 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3420 | loss : 0.0024353091479742037|
2022-01-04 18:51:20.702 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3440 | loss : 0.0024485515993694926|
2022-01-04 18:51:48.961 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3460 | loss : 0.00243206299798337|
2022-01-04 18:52:17.203 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3480 | loss : 0.002583148835719317|
2022-01-04 18:52:45.443 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3500 | loss : 0.0023128277914864675|
2022-01-04 18:53:13.683 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3520 | loss : 0.002360394055193121|
2022-01-04 18:53:41.907 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3540 | loss : 0.002375229603826663|
2022-01-04 18:54:10.059 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3560 | loss : 0.002364125144615602|
2022-01-04 18:54:38.331 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3580 | loss : 0.002379869482370728|
2022-01-04 18:55:06.622 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3600 | loss : 0.002401246494717068|
2022-01-04 18:55:34.832 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3620 | loss : 0.0023592540572361393|
2022-01-04 18:56:03.065 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3640 | loss : 0.002206763592395154|
2022-01-04 18:56:31.285 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3660 | loss : 0.0023220890858134287|
2022-01-04 18:56:59.493 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3680 | loss : 0.002221886230551678|
2022-01-04 18:57:27.546 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3700 | loss : 0.0022800824448869035|
2022-01-04 18:57:55.689 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3720 | loss : 0.0023072129936628446|
2022-01-04 18:58:23.789 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3740 | loss : 0.0021943966972636664|
2022-01-04 18:58:51.930 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3760 | loss : 0.0021712835798872276|
2022-01-04 18:59:20.144 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3780 | loss : 0.002204899308542726|
2022-01-04 18:59:48.372 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3800 | loss : 0.002150985316226357|
2022-01-04 19:00:16.575 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 3820 | loss : 0.002189040808153402|
